ICAO;cenario;Ano; Carga (kg) 
SBAX;Tendencial;2034;39345,91424
SBAX;Tendencial;2035;40110,03014
SBAX;Tendencial;2036;40823,98175
SBAX;Tendencial;2037;41514,25537
SBAX;Tendencial;2038;42196,79626
SBAX;Tendencial;2039;42881,07203
SBAX;Tendencial;2040;43572,78746
SBAX;Tendencial;2041;44275,24664
SBAX;Tendencial;2042;44990,43289
SBAX;Tendencial;2043;45719,39931
SBAX;Tendencial;2044;46462,72384
SBAX;Tendencial;2045;47220,60976
SBAX;Tendencial;2046;47993,11446
SBAX;Tendencial;2047;48780,13455
SBAX;Tendencial;2048;49581,55989
SBAX;Tendencial;2049;50397,22271
SBAX;Tendencial;2050;51227,00297
SBAX;Tendencial;2051;52070,77998
SBAX;Tendencial;2052;52928,52063
SBAX;Tendencial;2053;53800,22697
SBAX;Tendencial;2054;54686,01122
SBAX;Pessimista;2025;18894,06094
SBAX;Pessimista;2026;20485,07142
SBAX;Pessimista;2027;24378,64321
SBAX;Pessimista;2028;28231,38933
SBAX;Pessimista;2029;31240,82719
SBAX;Pessimista;2030;33367,04275
SBAX;Pessimista;2031;34818,94024
SBAX;Pessimista;2032;35819,90925
SBAX;Pessimista;2033;36539,21818
SBAX;Pessimista;2034;37089,67999
SBAX;Pessimista;2035;37541,76675
SBAX;Pessimista;2036;37938,33462
SBAX;Pessimista;2037;38304,82969
SBAX;Pessimista;2038;38656,34424
SBAX;Pessimista;2039;39001,67063
SBAX;Pessimista;2040;39345,9662
SBAX;Pessimista;2041;39692,09965
SBAX;Pessimista;2042;40041,68731
SBAX;Pessimista;2043;40395,4821
SBAX;Pessimista;2044;40753,79997
SBAX;Pessimista;2045;41116,62327
SBAX;Pessimista;2046;41483,80817
SBAX;Pessimista;2047;41855,07725
SBAX;Pessimista;2048;42230,15363
SBAX;Pessimista;2049;42608,71896
SBAX;Pessimista;2050;42990,50185
SBAX;Pessimista;2051;43375,23675
SBAX;Pessimista;2052;43762,73518
SBAX;Pessimista;2053;44152,84083
SBAX;Pessimista;2054;44545,48802
SBAX;Transformador;2025;18894,06094
SBAX;Transformador;2026;20654,21478
SBAX;Transformador;2027;24855,31778
SBAX;Transformador;2028;29143,89777
SBAX;Transformador;2029;32672,37221
SBAX;Transformador;2030;35360,69444
SBAX;Transformador;2031;37394,71051
SBAX;Transformador;2032;38988,38119
SBAX;Transformador;2033;40309,08365
SBAX;Transformador;2034;41471,0428
SBAX;Transformador;2035;42547,16327
SBAX;Transformador;2036;43582,81244
SBAX;Transformador;2037;44605,63986
SBAX;Transformador;2038;45632,60566
SBAX;Transformador;2039;46674,04678
SBAX;Transformador;2040;47736,43467
SBAX;Transformador;2041;48823,74871
SBAX;Transformador;2042;49938,59569
SBAX;Transformador;2043;51082,59961
SBAX;Transformador;2044;52256,88341
SBAX;Transformador;2045;53462,16526
SBAX;Transformador;2046;54699,00798
SBAX;Transformador;2047;55967,79561
SBAX;Transformador;2048;57268,90747
SBAX;Transformador;2049;58602,65772
SBAX;Transformador;2050;59969,41824
SBAX;Transformador;2051;61369,5626
SBAX;Transformador;2052;62803,57246
SBAX;Transformador;2053;64271,97765
SBAX;Transformador;2054;65775,44942
SBAX;Observado;2004;2802
SBAX;Observado;2005;0
SBAX;Observado;2006;0
SBAX;Observado;2007;3185
SBAX;Observado;2008;25
SBAX;Observado;2009;321
SBAX;Observado;2010;265
SBAX;Observado;2011;174
SBAX;Observado;2012;2802
SBAX;Observado;2013;2288
SBAX;Observado;2014;7759
SBAX;Observado;2015;7283
SBAX;Observado;2016;1743
SBAX;Observado;2017;1352
SBAX;Observado;2018;27697
SBAX;Observado;2019;24281
SBAX;Observado;2020;2626
SBAX;Observado;2023;19873
SBAX;Observado;2024;36431
SBAX;Tendencial;2024;36431
SBAX;Transformador;2024;36431
SBAX;Pessimista;2024;36431
SBBE;Tendencial;2025;28022970,95
SBBE;Tendencial;2026;27386260,2
SBBE;Tendencial;2027;27654605,68
SBBE;Tendencial;2028;28148112,78
SBBE;Tendencial;2029;28690728,07
SBBE;Tendencial;2030;29237359,6
SBBE;Tendencial;2031;29779249,72
SBBE;Tendencial;2032;30317469,33
SBBE;Tendencial;2033;30854735,24
SBBE;Tendencial;2034;31393673,48
SBBE;Tendencial;2035;31936182,38
SBBE;Tendencial;2036;32483744,56
SBBE;Tendencial;2037;33037335,39
SBBE;Tendencial;2038;33597761,92
SBBE;Tendencial;2039;34165583,43
SBBE;Tendencial;2040;34741325,62
SBBE;Tendencial;2041;35325396,85
SBBE;Tendencial;2042;35918231,36
SBBE;Tendencial;2043;36520193,94
SBBE;Tendencial;2044;37131699,06
SBBE;Tendencial;2045;37753115,17
SBBE;Tendencial;2046;38384855,27
SBBE;Tendencial;2047;39027299,76
SBBE;Tendencial;2048;39680863,53
SBBE;Tendencial;2049;40345921,06
SBBE;Tendencial;2050;41022868,84
SBBE;Tendencial;2051;41712055,94
SBBE;Tendencial;2052;42413840,56
SBBE;Tendencial;2053;43128535,95
SBBE;Tendencial;2054;43856458,83
SBBE;Pessimista;2025;28022970,95
SBBE;Pessimista;2026;27255142,56
SBBE;Pessimista;2027;27359343,37
SBBE;Pessimista;2028;27665356,12
SBBE;Pessimista;2029;28004088,17
SBBE;Pessimista;2030;28334799,25
SBBE;Pessimista;2031;28651258,12
SBBE;Pessimista;2032;28955921,63
SBBE;Pessimista;2033;29252240,53
SBBE;Pessimista;2034;29543194,14
SBBE;Pessimista;2035;29830831,73
SBBE;Pessimista;2036;30116661,27
SBBE;Pessimista;2037;30401625,45
SBBE;Pessimista;2038;30686452,44
SBBE;Pessimista;2039;30971605,91
SBBE;Pessimista;2040;31257493,38
SBBE;Pessimista;2041;31544398,76
SBBE;Pessimista;2042;31832615,04
SBBE;Pessimista;2043;32122362,39
SBBE;Pessimista;2044;32413894,49
SBBE;Pessimista;2045;32707415,66
SBBE;Pessimista;2046;33003159,81
SBBE;Pessimista;2047;33301324,35
SBBE;Pessimista;2048;33602127,56
SBBE;Pessimista;2049;33905745,64
SBBE;Pessimista;2050;34212365,53
SBBE;Pessimista;2051;34522127,77
SBBE;Pessimista;2052;34835173,95
