Cenário Projeção;Natureza;ICAO;Atributo;Valor
Pessimista;domestico;SBBR;2045;149013,1012
Pessimista;domestico;SBBR;2046;150482,4338
Pessimista;domestico;SBBR;2047;151968,9185
Pessimista;domestico;SBBR;2048;153581,2516
Pessimista;domestico;SBBR;2049;155207,6919
Pessimista;domestico;SBBR;2050;156731,2132
Pessimista;domestico;SBBR;2051;158384,2536
Pessimista;domestico;SBBR;2052;160024,2953
Pessimista;domestico;SBBR;2053;161682,2007
Pessimista;domestico;SBBR;2054;163448,2821
Pessimista;domestico;SBBV;2025;3283,477348
Pessimista;domestico;SBBV;2026;3270,759829
Pessimista;domestico;SBBV;2027;3295,639564
Pessimista;domestico;SBBV;2028;3329,02656
Pessimista;domestico;SBBV;2029;3362,671812
Pessimista;domestico;SBBV;2030;3397,607527
Pessimista;domestico;SBBV;2031;3431,053312
Pessimista;domestico;SBBV;2032;3462,876459
Pessimista;domestico;SBBV;2033;3493,649933
Pessimista;domestico;SBBV;2034;3524,037075
Pessimista;domestico;SBBV;2035;3554,535426
Pessimista;domestico;SBBV;2036;3584,72844
Pessimista;domestico;SBBV;2037;3615,016712
Pessimista;domestico;SBBV;2038;3645,677312
Pessimista;domestico;SBBV;2039;3676,464959
Pessimista;domestico;SBBV;2040;3707,729832
Pessimista;domestico;SBBV;2041;3739,220325
Pessimista;domestico;SBBV;2042;3771,268579
Pessimista;domestico;SBBV;2043;3803,321577
Pessimista;domestico;SBBV;2044;3836,371466
Pessimista;domestico;SBBV;2045;3869,904431
Pessimista;domestico;SBBV;2046;3904,180152
Pessimista;domestico;SBBV;2047;3938,544287
Pessimista;domestico;SBBV;2048;3973,102282
Pessimista;domestico;SBBV;2049;4008,666559
Pessimista;domestico;SBBV;2050;4044,780538
Pessimista;domestico;SBBV;2051;4083,503525
Pessimista;domestico;SBBV;2052;4123,472127
Pessimista;domestico;SBBV;2053;4164,583594
Pessimista;domestico;SBBV;2054;4206,317666
Pessimista;domestico;SBBW;2025;307,7848687
Pessimista;domestico;SBBW;2026;304,8888477
Pessimista;domestico;SBBW;2027;306,5228883
Pessimista;domestico;SBBW;2028;310,040699
Pessimista;domestico;SBBW;2029;314,6984447
Pessimista;domestico;SBBW;2030;318,8856162
Pessimista;domestico;SBBW;2031;323,3642738
Pessimista;domestico;SBBW;2032;327,5581639
Pessimista;domestico;SBBW;2033;331,8231027
Pessimista;domestico;SBBW;2034;335,8934028
Pessimista;domestico;SBBW;2035;340,0067847
Pessimista;domestico;SBBW;2036;344,1951587
Pessimista;domestico;SBBW;2037;348,5382381
Pessimista;domestico;SBBW;2038;352,909431
Pessimista;domestico;SBBW;2039;357,4091743
Pessimista;domestico;SBBW;2040;361,8693028
Pessimista;domestico;SBBW;2041;366,4476234
Pessimista;domestico;SBBW;2042;370,9968182
Pessimista;domestico;SBBW;2043;375,7624332
Pessimista;domestico;SBBW;2044;380,6167714
Pessimista;domestico;SBBW;2045;385,4625728
Pessimista;domestico;SBBW;2046;390,6440639
Pessimista;domestico;SBBW;2047;396,2462711
Pessimista;domestico;SBBW;2048;401,967718
Pessimista;domestico;SBBW;2049;407,7638943
Pessimista;domestico;SBBW;2050;413,5228503
Pessimista;domestico;SBBW;2051;419,6810098
Pessimista;domestico;SBBW;2052;426,1105362
Pessimista;domestico;SBBW;2053;432,6605362
Pessimista;domestico;SBBW;2054;439,2352732
Pessimista;domestico;SBCA;2025;3029,450179
Pessimista;domestico;SBCA;2026;3030,468117
Pessimista;domestico;SBCA;2027;3026,26556
Pessimista;domestico;SBCA;2028;3020,278237
Pessimista;domestico;SBCA;2029;3025,878347
Pessimista;domestico;SBCA;2030;3046,611142
Pessimista;domestico;SBCA;2031;3072,431214
Pessimista;domestico;SBCA;2032;3099,969979
Pessimista;domestico;SBCA;2033;3127,479328
Pessimista;domestico;SBCA;2034;3155,017689
Pessimista;domestico;SBCA;2035;3182,62592
Pessimista;domestico;SBCA;2036;3210,33542
Pessimista;domestico;SBCA;2037;3238,303844
Pessimista;domestico;SBCA;2038;3266,252673
Pessimista;domestico;SBCA;2039;3295,2145
Pessimista;domestico;SBCA;2040;3325,033891
Pessimista;domestico;SBCA;2041;3355,477598
Pessimista;domestico;SBCA;2042;3387,386503
Pessimista;domestico;SBCA;2043;3419,366179
Pessimista;domestico;SBCA;2044;3451,980581
Pessimista;domestico;SBCA;2045;3485,166775
Pessimista;domestico;SBCA;2046;3519,844188
Pessimista;domestico;SBCA;2047;3555,198105
Pessimista;domestico;SBCA;2048;3590,658426
Pessimista;domestico;SBCA;2049;3627,215486
Pessimista;domestico;SBCA;2050;3663,148678
Pessimista;domestico;SBCA;2051;3702,29831
